doc_id,พรรคการเมือง,คะแนน
constituency_10_11_page2,ไทยสร้างไทย,๔๑๓ (สี่ร้อยสิบสาม)
constituency_10_11_page2,บ้านเมือง,๓๖๙ (สามร้อยหกสิบเก้า)
constituency_10_11_page2,ไทยก้าวใหม่,๓๓๒ (สามร้อยสามสิบสอง)
constituency_10_11_page2,พลังประชารัฐ,๒๙๖ (สองร้อยเก้าสิบหก)
constituency_10_11_page2,กล้าธรรม,๒๐๓ (สองร้อยสาม)
constituency_10_11_page2,พลวัต,๑๙๔ (หนึ่งร้อยแปดสิบสี่)
constituency_10_11_page2,ประชาธิปไตยใหม่,๑๘๑ (หนึ่งร้อยแปดสิบ)
constituency_10_11_page2,วิชชั่นใหม่,๖๐ (หกสิบ)
constituency_10_11_page3,,
constituency_10_12,,
constituency_10_12_page2,ประชาชน,"๔๙,๙๒๕ (สี่หมื่นเก้าพันเก้าร้อยยี่สิบห้า)"
constituency_10_12_page2,ภูมิใจไทย,"๑๖,๑๐๖ (หนึ่งหมื่นหกพันหนึ่งร้อยหก)"
constituency_10_12_page2,เพื่อไทย,"๑๕,๐๙๕ (หนึ่งหมื่นห้าพันเก้าสิบห้า)"
constituency_10_12_page2,ประชาธิปัตย์,"๙,๕๒๗ (เก้าพันห้าร้อยยี่สิบเจ็ด)"
constituency_10_12_page2,พลังประชารัฐ,"๔,๑๔๒ (สี่พันหนึ่งร้อยสี่สิบสอง)"
constituency_10_12_page2,รวมไทยสร้างชาติ,"๑,๗๗๖ (หนึ่งพันเจ็ดร้อยเจ็ดสิบหก)"
constituency_10_12_page2,เศรษฐกิจ,"๑,๗๗๐ (หนึ่งพันเจ็ดร้อยเจ็ดสิบ)"
constituency_10_12_page2,ไทยสร้างไทย,"๑,๑๘๓ (หนึ่งพันหนึ่งร้อยแปดสิบสาม)"
constituency_10_12_page2,กล้าธรรม,๙๔๕ (เก้าร้อยสี่สิบห้า)
constituency_10_12_page2,ไทยก้าวใหม่,๗๒๑ (เจ็ดร้อยยี่สิบเอ็ด)
constituency_10_12_page2,พลวัต,๔๕๒ (สี่ร้อยห้าสิบสอง)
constituency_10_12_page2,ประชาธิปไตยใหม่,๔๓๐ (สี่ร้อยสามสิบ)
constituency_10_12_page2,ประชากรไทย,๔๓๔ (สี่ร้อยสามสิบสี่)
constituency_10_12_page2,โอกาสใหม่,๓๖๘ (สามร้อยหกสิบแปด)
constituency_10_12_page2,รักชาติ,๒๙๘ (สองร้อยเก้าสิบแปด)
constituency_10_12_page2,ปวงชนไทย,๒๖๗ (สองร้อยหกสิบเจ็ด)
constituency_10_12_page3,,
constituency_10_13,,
constituency_10_13_page2,พรรคประชาชน,"๔๔,๕๑๑ (สี่หมื่นสี่พันห้าร้อยสิบเอ็ด)"
constituency_10_13_page2,พรรคภูมิใจไทย,"๑๕,๒๒๗ (หนึ่งหมื่นห้าพันสองร้อยยี่สิบเจ็ด)"
constituency_10_13_page2,พรรคประชาธิปัตย์,"๑๑,๔๒๘ (หนึ่งหมื่นหนึ่งพันสี่ร้อยยี่สิบแปด)"
constituency_10_13_page2,พรรคเพื่อไทย,"๑๐,๗๕๒ (หนึ่งหมื่นเจ็ดร้อยห้าสิบสอง)"
constituency_10_13_page2,พรรครวมไทยสร้างชาติ,"๑,๘๘๗ (หนึ่งพันแปดร้อยแปดสิบเจ็ด)"
constituency_10_13_page2,พรรคเศรษฐกิจ,"๑,๔๑๓ (หนึ่งพันสี่ร้อยสิบสาม)"
constituency_10_13_page2,พรรคครักชาติ,"๑,๓๒๓ (หนึ่งพันสามร้อยยี่สิบสาม)"
constituency_10_13_page2,พรรคปวงชนไทย,"๑,๐๘๒ (หนึ่งพันแปดสิบสอง)"
constituency_10_13_page2,พรรคไทยสร้างไทย,๘๐๗ (แปดร้อยเจ็ด)
constituency_10_13_page2,พรรคไทยก้าวใหม่,๗๗๕ (เจ็ดร้อยเจ็ดสิบห้า)
constituency_10_13_page2,พรรคโอกาสใหม่,๔๓๘ (สี่ร้อยสามสิบแปด)
constituency_10_13_page2,พรรคพลวัต,๓๒๕ (สามร้อยยี่สิบห้า)
constituency_10_13_page2,พรรคพลังประชารัฐ,๒๕๒ (สองร้อยห้าสิบสอง)
constituency_10_13_page2,พรรคเพื่อบ้านเมือง,๑๕๗ (หนึ่งร้อยห้าสิบเจ็ด)
constituency_10_13_page2,พรรควิชชั่นใหม่,๑๓๑ (หนึ่งร้อยสามสิบเอ็ด)
constituency_10_14,,
constituency_10_14_page2,ประชาชน,"๔๑,๕๒๘ (สี่หมื่นหนึ่งพันห้าร้อยยี่สิบแปด)"
constituency_10_14_page2,ภูมิใจไทย,"๒๕,๔๙๑ (สองหมื่นห้าพันสี่ร้อยเก้าสิบเอ็ด)"
constituency_10_14_page2,เพื่อไทย,"๑๐,๘๔๘ (หนึ่งหมื่นแปดร้อยสี่สิบแปด)"
constituency_10_14_page2,ประชาธิปัตย์,"๘,๑๘๖ (แปดพันหนึ่งร้อยแปดสิบหก)"
constituency_10_14_page2,รวมไทยสร้างชาติ,"๑,๓๓๓ (หนึ่งพันสามร้อยสามสิบสาม)"
constituency_10_14_page2,ไทยสร้างไทย,"๑,๒๙๙ (หนึ่งพันสองร้อยเก้าสิบเก้า)"
constituency_10_14_page2,เศรษฐกิจ,"๑,๑๙๙ (หนึ่งพันหนึ่งร้อยเก้าสิบเก้า)"
constituency_10_14_page2,ไทยภักดี,๖๙๔ (หกร้อยเก้าสิบสี่)
constituency_10_14_page2,กล้าธรรม,๕๗๑ (ห้าร้อยเจ็ดสิบเอ็ด)
constituency_10_14_page2,ไทยก้าวใหม่,๔๘๕ (สี่ร้อยแปดสิบห้า)
constituency_10_14_page2,รักชาติ,๔๗๗ (สี่ร้อยเจ็ดสิบเจ็ด)
constituency_10_14_page2,ปวงชนไทย,๓๕๔ (สามร้อยห้าสิบสี่)
constituency_10_14_page2,พลังประชารัฐ,๓๕๒ (สามร้อยห้าสิบสอง)
constituency_10_14_page2,โอกาสใหม่,๒๙๑ (สองร้อยเก้าสิบเอ็ด)
constituency_10_14_page2,พลวัต,๒๑๓ (สองร้อยสิบสาม)
constituency_10_14_page2,ไทยก้าวหน้า,๑๔๖ (หนึ่งร้อยสี่สิบหก)
constituency_10_14_page3,,
constituency_10_16,,
constituency_10_16_page2,ประชาชน,"๔๖,๐๒๑ (สี่หมื่นหกพันยี่สิบเอ็ด)"
constituency_10_16_page2,ภูมิใจไทย,"๑๕,๔๒๔ (หนึ่งหมื่นห้าพันสี่ร้อยยี่สิบสี่)"
constituency_10_16_page2,เพื่อไทย,"๑๕,๓๔๐ (หนึ่งหมื่นห้าพันสามร้อยสี่สิบ)"
constituency_10_16_page2,ประชาธิปัตย์,"๘,๔๔๒ (แปดพันสี่ร้อยสี่สิบสอง)"
constituency_10_16_page2,เศรษฐกิจ,"๑,๖๖๐ (หนึ่งพันหกร้อยหกสิบ)"
constituency_10_16_page2,รวมไทยสร้างชาติ,"๑,๖๔๘ (หนึ่งพันหกร้อยสี่สิบแปด)"
constituency_10_16_page2,โอกาสใหม่,"๑,๓๑๗ (หนึ่งพันสามร้อยสิบเจ็ด)"
constituency_10_16_page2,ไทยก้าวใหม่,"๑,๑๑๒ (หนึ่งพันหนึ่งร้อยสิบสอง)"
constituency_10_16_page2,กล้าธรรม,๘๒๔ (แปดร้อยยี่สิบสี่)
constituency_10_16_page2,ไทยสร้างไทย,๗๔๗ (เจ็ดร้อยสี่สิบเจ็ด)
constituency_10_16_page2,ไทยภักดี,๖๒๖ (หกร้อยยี่สิบหก)
constituency_10_16_page2,พลังประชารัฐ,๔๖๗ (สี่ร้อยหกสิบเจ็ด)
constituency_10_16_page2,รักชาติ,๒๘๖ (สองร้อยแปดสิบหก)
constituency_10_16_page2,เพื่อบ้านเมือง,๑๕๓ (หนึ่งร้อยห้าสิบสาม)
constituency_10_16_page2,ปวงชนไทย,๑๕๑ (หนึ่งร้อยห้าสิบเอ็ด)
constituency_10_17,,
constituency_10_17_page2,พรรคประชาชน,"๒๘,๕๘๗ (สองหมื่นแปดพันห้าร้อยแปดสิบเจ็ด)"
constituency_10_17_page2,พรรคภูมิใจไทย,"๑๖,๑๓๒ (หนึ่งหมื่นหกพันหนึ่งร้อยสามสิบสอง)"
constituency_10_17_page2,พรรคเพื่อไทย,"๑๒,๓๑๑ (หนึ่งหมื่นสองพันสามร้อยสิบเอ็ด)"
constituency_10_17_page2,พรรคประชาธิปัตย์,"๕,๖๑๑ (ห้าพันหกร้อยสิบเอ็ด)"
constituency_10_17_page2,พรรคไทยก้าวใหม่,"๑,๙๖๗ (หนึ่งพันเก้าร้อยหกสิบเจ็ด)"
constituency_10_17_page2,พรรครวมไทยสร้าง,"๑,๖๐๔ (หนึ่งพันหกร้อยสี่)"
constituency_10_17_page2,พรรคเศรษฐกิจ,"๑,๓๘๒ (หนึ่งพันสามร้อยแปดสิบสอง)"
constituency_10_17_page2,พรรคพลังประชารัฐ,๘๖๔ (แปดร้อยหกสิบสี่)
constituency_10_17_page2,พรรคไทยสร้างไทย,๗๗๓ (เจ็ดร้อยเจ็ดสิบสาม)
constituency_10_17_page2,พรรคแรงงานสร้างชาติ,๗๔๕ (เจ็ดร้อยสี่สิบห้า)
constituency_10_17_page2,พรรคกล้าธรรม,๔๙๙ (สี่ร้อยเก้าสิบเก้า)
constituency_10_17_page2,พรรคโอกาสใหม่,๔๑๙ (สี่ร้อยสิบเก้า)
constituency_10_17_page2,พรรควิชช์ใหม่,๓๕๘ (สามร้อยห้าสิบแปด)
constituency_10_17_page2,พรรคปวงชนไทย,๒๔๖ (สองร้อยสี่สิบหก)
constituency_10_17_page2,พรรคเพื่อบ้านเมือง,๒๒๒ (สองร้อยยี่สิบสอง)
constituency_10_18,,
constituency_10_18_page2,ประชาชน,"๓๔,๗๓๘ (สามหมื่นสี่พันเจ็ดร้อย สามสิบแปด)"
constituency_10_18_page2,เพื่อไทย,"๒๐,๔๑๔ (สองหมื่นสี่ร้อยสิบสี่)"
constituency_10_18_page2,ภูมิใจไทย,"๘,๓๒๖ (แปดพันสามร้อยยี่สิบหก)"
constituency_10_18_page2,ประชาธิปัตย์,"๖,๖๕๔ (หกพันหกร้อยห้าสิบสี่)"
constituency_10_18_page2,รวมไทยสร้างชาติ,"๓,๒๖๐ (สามพันสองร้อยหกสิบ)"
constituency_10_18_page2,ไทยก้าวใหม่,"๑,๗๘๑ (หนึ่งพันเจ็ดร้อยแปดสิบเอ็ด)"
constituency_10_18_page2,ไทยสร้างไทย,"๑,๗๓๒ (หนึ่งพันเจ็ดร้อยสามสิบสอง)"
constituency_10_18_page2,ทางเลือกใหม่,๔๙๖ (สี่ร้อยเก้าสิบหก)
constituency_10_18_page2,พลวัต,๔๓๖ (สี่ร้อยสามสิบหก)
constituency_10_18_page2,รักชาติ,๓๗๒ (สามร้อยเจ็ดสิบสอง)
constituency_10_18_page2,พลังประชารัฐ,๓๕๙ (สามร้อยห้าสิบเก้า)
constituency_10_18_page2,ไทยชนะ,๓๓๘ (สามร้อยสามสิบแปด)
constituency_10_18_page2,แรงงานสร้างชาติ,๒๘๕ (สองร้อยแปดสิบห้า)
constituency_10_18_page2,ปวงชนไทย,๒๒๕ (สองร้อยยี่สิบห้า)
constituency_10_18_page2,โอกาสใหม่,๒๑๑ (สองร้อยสิบเอ็ด)
constituency_10_18_page2,กล้าธรรม,๒๑๐ (สองร้อยสิบ)
constituency_10_18_page2,เพื่อบ้านเมือง,๑๙๖ (หนึ่งร้อยเก้าสิบหก)
constituency_10_18_page2,พร้อม,๑๗๑ (หนึ่งร้อยเจ็ดสิบเอ็ด)
constituency_10_18_page3,,
constituency_10_19,,
constituency_10_19_page2,ประชาชน,"๔๒,๘๐๒ (สี่หมื่นสองพันแปดร้อยยี่สิบ)"
constituency_10_19_page2,ภูมิใจไทย,"๑๗,๘๐๒ (หนึ่งหมื่นเจ็ดพันแปดร้อยสอง)"
constituency_10_19_page2,เพื่อไทย,"๑๓,๒๗๑ (หนึ่งหมื่นสามพันสองร้อยเจ็ดสิบเอ็ด)"
constituency_10_19_page2,ประชาธิปัตย์,"๑๐,๒๓๔ (หนึ่งหมื่นสองร้อยสามสิบสี่)"
constituency_10_19_page2,รวมไทยสร้างชาติ,"๒,๔๑๕ (สองพันสี่ร้อยสิบห้า)"
constituency_10_19_page2,เศรษฐกิจ,"๑,๖๐๗ (หนึ่งพันหกร้อยเจ็ด)"
constituency_10_19_page2,ไทยสร้างไทย,๙๒๔ (เก้าร้อยยี่สิบสี่)
constituency_10_19_page2,กล้าธรรม,๗๗๒ (เจ็ดร้อยเจ็ดสิบสอง)
constituency_10_19_page2,ไทยก้าวใหม่,๕๗๙ (ห้าร้อยเจ็ดสิบเก้า)
constituency_10_19_page2,ปวงชนไทย,๕๔๖ (ห้าร้อยสี่สิบหก)
constituency_10_19_page2,โอกาสใหม่,๓๗๗ (สามร้อยเจ็ดสิบเจ็ด)
constituency_10_19_page2,พลวัต,๓๔๕ (สามร้อยสี่สิบห้า)
constituency_10_19_page2,รักชาติ,๒๖๙ (สองร้อยหกสิบเก้า)
constituency_10_19_page2,ทางเลือกใหม่,๒๓๐ (สองร้อยสามสิบ)
constituency_10_19_page3,,
constituency_10_1_page2,ประชาชน,"๓๔,๑๖๗ (สามหมื่นสี่พันหนึ่งร้อยหกสิบเจ็ด)"
constituency_10_1_page2,ประชาธิปัตย์,"๑๔,๘๑๓ (หนึ่งหมื่นสี่พันแปดร้อยสิบสาม)"
constituency_10_1_page2,ภูมิใจไทย,"๑๔,๓๖๘ (หนึ่งหมื่นสี่พันสามร้อยหกสิบแปด)"
constituency_10_1_page2,เพื่อไทย,"๖,๐๓๐ (หกพันสามสิบ)"
constituency_10_1_page2,รวมไทยสร้างชาติ,"๒,๐๗๕ (สองพันเจ็ดสิบห้า)"
constituency_10_1_page2,โอกาสใหม่,"๑,๑๓๓ (หนึ่งพันหนึ่งร้อยสามสิบสาม)"
constituency_10_1_page2,ไทยภักดี,"๑,๐๒๓ (หนึ่งพันยี่สิบสาม)"
constituency_10_1_page2,เศรษฐกิจ,๙๗๙ (เก้าร้อยเจ็ดสิบเก้า)
constituency_10_1_page2,ไทยสร้างไทย,๖๒๙ (หกร้อยยี่สิบเก้า)
constituency_10_1_page2,ไทยก้าวใหม่,๔๘๙ (สี่ร้อยแปดสิบเก้า)
constituency_10_1_page2,พลวัต,๓๕๑ (สามร้อยห้าสิบเอ็ด)
constituency_10_1_page2,กล้าธรรม,๒๔๔ (สองร้อยสี่สิบสี่)
constituency_10_1_page2,ปวงชนไทย,๑๖๘ (หนึ่งร้อยหกสิบแปด)
constituency_10_1_page2,รักชาติ,๑๖๕ (หนึ่งร้อยหกสิบห้า)
constituency_10_1_page2,ทางเลือกใหม่,๑๕๔ (หนึ่งร้อยห้าสิบสี่)
constituency_10_1_page2,วิชชั่นใหม่,๑๑๓ (หนึ่งร้อยสิบสาม)
constituency_10_1_page2,ประชาธิปไตยใหม่,๙๔ (เก้าสิบสี่)
constituency_10_1_page2,พลังประชารัฐ,๘๐ (แปดสิบ)
constituency_10_1_page3,,
constituency_10_2,,
constituency_10_20,,
constituency_10_20_page2,พรรคประชาชน,"๓๔,๙๔๑ (สามหมื่นสี่พันเก้าร้อยสี่สิบเอ็ด)"
constituency_10_20_page2,พรรคเพื่อไทย,"๒๗,๔๗๔ (สองหมื่นเจ็ดพันสี่ร้อยเจ็ดสิบสี่)"
constituency_10_20_page2,พรรคภูมิใจไทย,"๗,๗๗๑ (เจ็ดพันเจ็ดร้อยเจ็ดสิบเอ็ด)"
constituency_10_20_page2,พรรคประชาธิปัตย์,"๔,๑๓๙ (สี่พันหนึ่งร้อยสามสิบเก้า)"
constituency_10_20_page2,พรรคโอกาสใหม่,"๑,๔๘๓ (หนึ่งพันสี่ร้อยแปดสิบสาม)"
constituency_10_20_page2,พรรครวมไทยสร้างชาติ,"๑,๒๒๙ (หนึ่งพันสองร้อยยี่สิบเก้า)"
constituency_10_20_page2,พรรคเศรษฐกิจ,"๑,๒๒๑ (หนึ่งพันสองร้อยยี่สิบเอ็ด)"
constituency_10_20_page2,พรรคไทยก้าวใหม่,"๑,๑๓๕ (หนึ่งพันหนึ่งร้อยสามสิบห้า)"
constituency_10_20_page2,พรรคไทยสร้างไทย,"๑,๐๑๘ (หนึ่งพันสิบแปด)"
constituency_10_20_page2,พรรคพลวัต,๔๒๔ (สี่ร้อยยี่สิบสี่)
constituency_10_20_page2,พรรคกล้าธรรม,๓๐๘ (สามร้อยแปด)
constituency_10_20_page2,พรรคพร้อม,๒๙๘ (สองร้อยเก้าสิบแปด)
constituency_10_20_page2,พรรคปวงชนไทย,๒๘๗ (สองร้อยแปดสิบเจ็ด)
constituency_10_20_page2,พรรคพลังประชารัฐ,๒๐๗ (สองร้อยเจ็ด)
constituency_10_21,เศรษฐกิจ,"๑,๒๙๖ (หนึ่งพันสองร้อยเก้าสิบหก)"
constituency_10_21,โอกาสใหม่,๒๐๑ (สองร้อยเอ็ด)
constituency_10_21,ไทยก้าวใหม่,๖๓๖ (หกร้อยสามสิบหก)
constituency_10_21,ภูมิใจไทย,"๑๐,๕๕๓ (หนึ่งหมื่นห้าร้อยห้าสิบสาม)"
constituency_10_21,พลวัต,๒๙๗ (สองร้อยเก้าสิบเจ็ด)
constituency_10_21,รักชาติ,"๑,๑๙๙ (หนึ่งพันหนึ่งร้อยเก้าสิบเก้า)"
constituency_10_21_page2,เพื่อไทย,"๖,๐๓๙ (หกพันสามสิบเก้า)"
constituency_10_21_page2,ประชาชน,"๔๕,๙๕๑ (สี่หมื่นห้าพันเก้าร้อยห้าสิบเอ็ด)"
constituency_10_21_page2,กล้าธรรม,"๑,๐๖๐ (หนึ่งพันหกสิบ)"
constituency_10_21_page2,รวมไทยสร้างชาติ,"๑,๑๕๓ (หนึ่งพันหนึ่งร้อยห้าสิบสาม)"
constituency_10_21_page2,ไทยภักดี,๘๒๗ (แปดร้อยสี่สิบเจ็ด)
constituency_10_21_page2,อนาคตไทย,๒๖๗ (สองร้อยหกสิบเจ็ด)
constituency_10_21_page2,ปวงชนไทย,๒๑๗ (สองร้อยสิบเจ็ด)
constituency_10_21_page2,ประชาธิปัตย์,"๒๑,๑๕๕ (สองหมื่นหนึ่งพันหนึ่งร้อยห้าสิบห้า)"
constituency_10_21_page2,ไทยสร้างไทย,๔๙๔ (สี่ร้อยเก้าสิบห้า)
constituency_10_22,,
constituency_10_22_page2,ประชาชน,"๑๔๒,๒๖๔ .. (สี่หมื่นสองพันสองร้อยหกสิบสี่)"
constituency_10_22_page2,ภูมิใจไทย,"๑๗,๔๘๖ .. (หนึ่งหมื่นเจ็ดพันสี่ร้อยแปดสิบหก)"
constituency_10_22_page2,ประชาธิปัตย์,"๑๙,๒๔๔ .. (เก้าพันสองร้อยสี่สิบสี่)"
constituency_10_22_page2,เพื่อไทย,"๑๗,๐๓๖ .. (เจ็ดพันสามสิบหก)"
constituency_10_22_page2,พลังประชารัฐ,"๑๒,๙๘๓ .. (สองพันเก้าร้อยแปดสิบสาม)"
constituency_10_22_page2,รวมไทยสร้างชาติ,"๑๑,๗๐๕ .. (หนึ่งพันเจ็ดร้อยห้า)"
constituency_10_22_page2,ไทยก้าวใหม่,"๑๑,๔๙๑ .. (หนึ่งพันสี่ร้อยเก้าสิบเอ็ด)"
constituency_10_22_page2,เศรษฐกิจ,"๑๑,๑๓๐ .. (หนึ่งพันหนึ่งร้อยสามสิบ)"
constituency_10_22_page2,ไทยสร้างไทย,๑๗๖๖ .. (เจ็ดร้อยแปดสิบหก)
constituency_10_22_page2,พลวัต,๑๔๒๕ .. (สี่ร้อยยี่สิบห้า)
constituency_10_22_page2,ปวงชนไทย,๑๓๖๘ .. (สามร้อยหกสิบแปด)
constituency_10_22_page2,กล้าธรรม,๑๒๕๓ .. (สองร้อยห้าสิบสาม)
constituency_10_22_page2,วิชชั่นใหม่,๑๒๐๕ .. (สองร้อยห้า)
constituency_10_22_page2,โอกาสใหม่,๑๑๘๒ .. (หนึ่งร้อยแปดสิบสอง)
constituency_10_23,,
constituency_10_23_page2,ประชาชน,"๔๖,๗๘๒ (สี่หมื่นหกพันเจ็ดร้อยแปด สิบสอง)"
constituency_10_23_page2,ภูมิใจไทย,"๑๗,๕๙๒ (หนึ่งหมื่นเจ็ดพันห้าร้อยเก้า สิบสอง)"
constituency_10_23_page2,ประชาธิปัตย์,"๑๐,๘๗๖ (หนึ่งหมื่นแปดร้อยเจ็ดสิบ หก)"
constituency_10_23_page2,เพื่อไทย,"๙,๒๙๒ (เก้าพันสองร้อยเก้าสิบสอง)"
constituency_10_23_page2,รวมไทยสร้างชาติ,"๑,๘๙๖ (หนึ่งพันแปดร้อยเก้าสิบหก)"
constituency_10_23_page2,พลังประชารัฐ,"๑,๖๖๐ (หนึ่งพันหกร้อยหกสิบ)"
constituency_10_23_page2,เศรษฐกิจ,"๑,๕๒๙ (หนึ่งพันห้าร้อยยี่สิบเก้า)"
constituency_10_23_page2,ไทยสร้างไทย,"๑,๐๐๔ (หนึ่งพันสี่)"
constituency_10_23_page2,ไทยก้าวใหม่,๗๕๕ (เจ็ดร้อยห้าสิบห้า)
constituency_10_23_page2,ไทยภักดี,๕๖๓ (ห้าร้อยหกสิบสาม)
constituency_10_23_page2,ประชาธิปไตยใหม่,๔๖๔ (สี่ร้อยหกสิบสี่)
constituency_10_23_page2,กล้าธรรม,๓๒๕ (สามร้อยยี่สิบห้า)
constituency_10_23_page2,อนาคตไทย,๓๑๙ (สามร้อยสิบเก้า)
constituency_10_23_page2,รักชาติ,๒๙๘ (สองร้อยเก้าสิบแปด)
constituency_10_23_page2,พลวัต,๒๙๐ (สองร้อยเก้าสิบ)
constituency_10_23_page2,วิชช์ใหม่,๒๐๓ (สองร้อยสาม)
constituency_10_23_page2,ปวงชนไทย,๒๐๑ (สองร้อยเอ็ด)
constituency_10_23_page2,โอกาสใหม่,๑๘๔ (หนึ่งร้อยแปดสิบสี่)
constituency_10_23_page3,,
constituency_10_24,,
constituency_10_24_page2,ประชาชน,"๔๖,๔๑๕ (สี่หมื่นหกพันสี่ร้อยสิบห้า)"
constituency_10_24_page2,ภูมิใจไทย,"๑๕,๓๐๐ (หนึ่งหมื่นห้าพันสามร้อย)"
constituency_10_24_page2,ประชาธิปัตย์,"๑๓,๓๗๑ (หนึ่งหมื่นสามพันสามร้อยเจ็ดสิบเอ็ด)"
constituency_10_24_page2,เพื่อไทย,"๖,๔๐๑ (หกพันสี่ร้อยเอ็ด)"
constituency_10_24_page2,เศรษฐกิจ,"๒,๕๐๙ (สองพันห้าร้อยเก้า)"
constituency_10_24_page2,รวมไทยสร้างชาติ,"๑,๗๕๘ (หนึ่งพันเจ็ดร้อยห้าสิบแปด)"
constituency_10_24_page2,ไทยก้าวใหม่,"๑,๐๐๑ (หนึ่งพันเอ็ด)"
constituency_10_24_page2,ไทยสร้างไทย,๘๑๙ (แปดร้อยสิบเก้า)
constituency_10_24_page2,กล้าธรรม,๕๑๔ (ห้าร้อยสิบสี่)
constituency_10_24_page2,โอกาสใหม่,๔๙๒ (สี่ร้อยเก้าสิบสอง)
constituency_10_24_page2,ปวงชนไทย,๒๘๕ (สองร้อยแปดสิบห้า)
constituency_10_24_page2,ประชาธิปไตยใหม่,๒๘๐ (สองร้อยแปดสิบ)
constituency_10_24_page2,ทางเลือกใหม่,๒๑๑ (สองร้อยสิบเอ็ด)
constituency_10_24_page3,,
constituency_10_24_page3,,
constituency_10_25,,
constituency_10_25_page2,ประชาชน,"๓๗,๐๓๕ (สามหมื่นเจ็ดพันสามสิบห้า)"
constituency_10_25_page2,เพื่อไทย,"๒๑,๙๐๔ (สองหมื่นหนึ่งพันเก้าร้อยสี่)"
constituency_10_25_page2,ภูมิใจไทย,"๑๐,๔๙๓ (หนึ่งหมื่นสี่ร้อยเก้าสิบสาม)"
constituency_10_25_page2,ประชาธิปัตย์,"๗,๐๗๑ (เจ็ดพันเจ็ดสิบเอ็ด)"
constituency_10_25_page2,รวมไทยสร้างชาติ,"๒,๔๙๓ (สองพันสี่ร้อยเก้าสิบสาม)"
constituency_10_25_page2,เศรษฐกิจ,"๑,๓๓๕ (หนึ่งพันสามร้อยสามสิบห้า)"
constituency_10_25_page2,พลวัต,๙๘๐ (เก้าร้อยแปดสิบ)
constituency_10_25_page2,พลังประชารัฐ,๖๘๘ (หกร้อยแปดสิบแปด)
constituency_10_25_page2,ไทยสร้างไทย,๕๘๑ (ห้าร้อยแปดสิบเอ็ด)
constituency_10_25_page2,อนาคตไทย,๔๒๔ (สี่ร้อยยี่สิบสี่)
constituency_10_25_page2,ไทยก้าวใหม่,๔๐๗ (สี่ร้อยเจ็ด)
constituency_10_25_page2,กล้าธรรม,๓๕๗ (สามร้อยห้าสิบเจ็ด)
